,Political Affiliation,tweet,Politician,Word Count,created_time,negative,neutral,positive,polarity
47,Democrats,"Just left the 1st CBP facility.

I see why CBP officers were being so physically &amp;sexually threatening towards me.

Officers were keeping women in cells w/ no water &amp; had told them to drink out of the toilets.

This was them on their GOOD behavior in front of members of Congress.",AOC,51,2019-07,0.104,0.832,0.064,-0.3028
48,Democrats,"There are 20,000 TOTAL Customs &amp; Border Patrol agents in the US.

9,500 - almost HALF that number - are in a racist &amp; sexually violent secret CBP Facebook group.

They’re threatening violence on members of Congress. How do you think they’re treating caged children+families? https://t.co/AfDB50cgHQ",AOC,46,2019-07,0.283,0.698,0.019,-0.9465
49,Democrats,"9,500 CBP officers sharing memes about dead migrants and discussing violence and sexual misconduct towards members of Congress.

How on earth can CBP’s culture be trusted to care for refugees humanely?

PS I have no plans to change my itinerary &amp; will visit the CBP station today.",AOC,47,2019-07,0.178,0.67,0.152,-0.3612
50,Democrats,"This just broke: a secret Facebook group of 9,500 CBP officers discussed making a GoFundMe for officers to harm myself &amp; Rep. Escobar during our visit to CBP facilities &amp; mocked migrant deaths.

This isn’t about “a few bad eggs.” This is a violent culture. https://t.co/SkFwThHElx",AOC,46,2019-07,0.296,0.704,0.0,-0.9432
51,Democrats,"We just landed in El Paso last night with several other members of Congress to tour migrant camp facilities.

Meanwhile in McAllen, this is the scene (via @Reuters) ⬇️ https://t.co/Hoe0OHw8Vz",AOC,30,2019-07,0.0,1.0,0.0,0.0
52,Democrats,You can chip in to their legal fund here: https://t.co/NIk4WWY9sC,AOC,10,2019-07,0.0,0.857,0.143,0.128
53,Democrats,"Direct actions of profound solidarity, just like these, hold enormous power to change our country.

Thank you @NeverAgainActn, for your courage, compassion, and selflessness in pursuit of justice. 

https://t.co/Bl0B6ZFcAZ",AOC,29,2019-07,0.0,0.578,0.422,0.9413
54,Democrats,"Also deserving of our attention and support: 36 young Jewish activists were arrested today for nonviolent direct action against migrant conditions in Elizabeth, NJ.

You can learn more about their advocacy and support their bail fund here ⬇️ https://t.co/oyoOJZdwh8",AOC,39,2019-07,0.07,0.809,0.121,0.3182
55,Democrats,"For our fundraising deadline in an HOUR, I’d like to share some fundraising w/ ⁦@KatieHill4CA⁩, a swing-seater who stood up for immigrant dignity this week.

Split 💰here to show that immigrant dignity shouldn’t be a partisan issue,but a human issue: https://t.co/GEwbyYBtqa",AOC,41,2019-07,0.0,0.771,0.229,0.8442
56,Democrats,"(And that’s if they even take out their own trash, which I doubt)",AOC,13,2019-06,0.0,1.0,0.0,0.0
57,Democrats,"In other words, Republicans who criticize my being a waitress as evidence of lacking skill can take their classism to the trash.

You are insulting the capacities and potential of virtually every working person in America (&amp;the 🌎) for having experience that’s earned, not bought.",AOC,45,2019-06,0.121,0.879,0.0,-0.7003
58,Democrats,"Some of the most nuanced, intelligent, &amp; grounded people I‘ve ever met weren’t at BU, MIT or Harvard events when I was a student.

They were the plumbers &amp; waitresses I hung out with at happy hour, who had ferocious intellectual curiosity *and* a lived context of the real world.",AOC,50,2019-06,0.026,0.782,0.191,0.8714
59,Democrats,"Working people that GOP dismiss as “just a waitress/cook/etc” contain multitudes, &amp; are just as capable &amp; intelligent as anyone.

Classism - judging someone’s character by their income - is disappointing to see from them.

What is so appalling to GOP about having an honest job?",AOC,46,2019-06,0.121,0.712,0.167,0.3525
60,Democrats,"As always, I‘m proud of my work in restaurants.

I also worked for Sen. Ted Kennedy, piloted literacy projects in the South Bronx, studied Development Economics in W Africa, served as an Educational Director &amp; won international science competitions before I ran for office, too.",AOC,45,2019-06,0.0,0.855,0.145,0.7783
61,Democrats,Here’s how: https://t.co/8Uv6mqm76f https://t.co/IFC8ddl79t,AOC,4,2019-06,0.0,1.0,0.0,0.0
62,Democrats,"Actually, that would make government better - not worse.

Imagine if more people in power spent years of their lives actually working for a living.

We’d probably have healthcare and living wages by now. https://t.co/HoxIyu6ftj",AOC,35,2019-06,0.0,0.85,0.15,0.6656
63,Democrats,"Since when are Obama-Trump voters “ordinary voters?” 

They are a tiny % of the electorate. (In fact, most voters didn’t even vote for Trump.)

So on top of your troubling claims abt taxes, it’s justified to see the word “ordinary” here is a euphemism.

The question is: for what? https://t.co/FoL8oDFR8Z",AOC,50,2019-06,0.066,0.836,0.098,0.1626
64,Democrats,"On climate, it’s easy to follow – and there are detriments to following. You are too late. You do not control your destiny. But it is enormously easy because you don’t have to determine the future.

It seems as if, really, it’s a decision on whether we’re going to lead or not. /2",AOC,53,2019-06,0.0,0.894,0.106,0.7003
65,Democrats,"Leadership is difficult.
Leadership is a responsibility. Leadership is about doing things before anybody else does them.
Leadership is about taking risks.
Leadership is about taking decisions when you don’t know 100% what the outcome is going to be.
(/1) https://t.co/ke1pzaO8pf",AOC,41,2019-06,0.108,0.892,0.0,-0.5574
66,Democrats,"Where on the 6 was this? Please tell me this was Manhattan, I’m not trying to get phone calls about this 😂 https://t.co/YV0Y4xDShc",AOC,23,2019-06,0.0,0.884,0.116,0.3869
67,Democrats,"It may be shocking to some, but being someone’s daughter actually isn’t a career qualification.

It hurts our diplomatic standing when the President phones it in &amp; the world moves on.

The US needs our President working the G20. Bringing a qualified diplomat couldn’t hurt either. https://t.co/KCZMXJ8FD9",AOC,47,2019-06,0.202,0.798,0.0,-0.891
68,Democrats,"But of course, just because a statute is abolished doesn’t mean the unfairness is gone. Remaining are life &amp; death implications of other statutes &amp; *how* laws are enforced.

That’s a key part of policy in a wide range of issues from schooling to marijuana + yes, immigration too.",AOC,49,2019-06,0.079,0.867,0.054,-0.296
69,Democrats,"Dred Scott was the landmark Supreme Court case that found the US Constitution didn’t give citizenship to black people.

The 1st US immigration law was the Chinese Exclusion Act. It was a race-based policy that was upheld until 1942.

The “National Origins Formula” lasted til ‘65.",AOC,46,2019-06,0.045,0.855,0.1,0.4019
70,Democrats,"The history of Citizenship in the US is deeply woven with the history of racism. It has been used as the legal enforcer of racism for most of US history.

Citizenship affords power, &amp; that’s why citizenship of African Americans was long denied too - to both slaves &amp; descendants.",AOC,50,2019-06,0.193,0.781,0.026,-0.891
71,Democrats,"The reason your abuela was “legal” was likely bc there was effectively no “illegal” US immigration when she came, except for the Chinese.

The US’ first imm law was the Chinese Exclusion Act, &amp; explicit racism was allowed as legal grounds for US immigration laws until *1952.* https://t.co/rP316bIrd5",AOC,48,2019-06,0.152,0.769,0.079,-0.6249
72,Democrats,"“⁦I know so many people who feel hopeless, and they ask me, “What should I do?” And I say: “Act.”

It was such an honor to share this conversation with you, ⁦@GretaThunberg⁩.

Thank you for being one of the leading voices on climate action today. https://t.co/ke1pzaO8pf",AOC,46,2019-06,0.059,0.786,0.155,0.5994
73,Democrats,"Reminder that these camps are run **at a profit** and financed by private equity groups, many of whom lobby politicians to imprison more people.

Wall Street has made human rights abuse an incentivized, for-profit venture. https://t.co/9zABsm7WQ5",AOC,36,2019-06,0.11,0.862,0.029,-0.6249
74,Democrats,"Pretty awful that the right would make a joke of visiting a child CBP camp - but fitting, given that they don’t seem to care one shred about other people’s lives.

PS That watch belonged to my dad. It was the last &amp; only possession he left me. I wear it to mark important moments. https://t.co/b6oXiWUaPj",AOC,56,2019-06,0.034,0.794,0.172,0.802
75,Democrats,The party’s on! 🥳 https://t.co/8evtIDxDsz,AOC,5,2019-06,0.0,1.0,0.0,0.0
76,Democrats,@mPinoe Yes! 🇺🇸⚽️✨,AOC,3,2019-06,0.0,0.401,0.599,0.4574
77,Democrats,"It may not be the White House, but we’d be happy to welcome @mPinoe &amp; the entire #USWMNT for a tour of the House of Representatives anytime they’d like. 🇺🇸 https://t.co/ccgqE8vCds",AOC,31,2019-06,0.0,0.687,0.313,0.9231
78,Democrats,Gotta love the rich irony of people who fondly recount stories of how their family’s last names were changed on Ellis Island after their relatives snuck onto a boat escaping some horror now taking fervent anti-immigrant stances &amp; branding innocent human beings as “illegal.”,AOC,44,2019-06,0.087,0.622,0.291,0.8885
79,Democrats,"One narrative in this country that we need to turn on its head is the lie that immigrants are “takers,” or represent a weight on society.

It’s wrong. Immigrants are *makers.* They create+offer opportunity. They aren’t a weight to carry; in fact, they are our nation’s shoulders.",AOC,47,2019-06,0.063,0.879,0.057,-0.0772
80,Democrats,"“Truly, I say to you, as you did it to one of the least of these my brothers, you did it to me.” https://t.co/wS8C0tdIOW",AOC,24,2019-06,0.0,1.0,0.0,0.0
81,Democrats,"The emperor has no clothes: the GOP truly has no plan, no agenda, &amp; no positive vision for the future of the United States.

We will win if we fight unapologetically for the future of ALL people - incl healthcare, education, labor, human rights, &amp; dignity.
https://t.co/gaWTfvumGB",AOC,47,2019-06,0.178,0.545,0.277,0.8126
82,Democrats,"It’s worked in recent history, btw - which is why they keep doing it. It got Dems to kill the public option years ago (imagine the last decade w a public option!)

I *wish* the party was as bold as GOP accuses. We’d win more, imo.",AOC,46,2019-06,0.133,0.692,0.176,0.3164
83,Democrats,"Yep, amusing how some think GOP calling Dems socialists is a new thing. 

a) they’ve called us it (at least) since FDR
b) GOP has no idea what economic democracy is

The whole goal of this attack is to get Dems to back off fighting for the economic rights of working class people. https://t.co/H5c1sEjMbc",AOC,54,2019-06,0.136,0.785,0.079,-0.5461
84,Democrats,"The Congressional Hispanic Caucus (which is ideologically diverse) concurs, and is officially recommending a NO vote.

 ⬇️ https://t.co/ZezCeKEgwD",AOC,18,2019-06,0.155,0.845,0.0,-0.4466
85,Democrats,"This Senate Bill will have us write a $4.6 Billion blank check (incl military $) for the border w NO accountability - just a verbal pinky promise.

Trump is not to be trusted with protecting our immigrants. Why must that even be stated? We need hard lines of protection, in ink. https://t.co/xFci23pFo6",AOC,52,2019-06,0.129,0.827,0.043,-0.5554
86,Democrats,We have time. We can stay in town. We can at LEAST add some amendments to this Senate bill. But to pass it completely unamended with no House input? That seems a bridge too far.,AOC,35,2019-06,0.069,0.931,0.0,-0.3535
87,Democrats,"0 negotiation with the House. We offered crucial amendments to protect children and families - none are even being considered.

A minority is different than a majority. And while the Senate has to deal with its lack of power there, a House majority should have a seat @ the table.",AOC,50,2019-06,0.05,0.893,0.057,0.0772
88,Democrats,"@jaketapper 0 conferencing with House Dems. 0 amendments accepted - including CRUCIAL amendments that would prevent more suffering.

There is enormous frustration here with the capitulation of the Senate minority. But that aside, we have a majority in the House and need to use it.",AOC,45,2019-06,0.139,0.792,0.069,-0.6478
89,Democrats,"Under no circumstances should the House vote for a McConnell-only bill w/ no negotiation with Democrats. Hell no.

That’s an abdication of power we should refuse to accept. They will keep hurting kids if we do.",AOC,36,2019-06,0.345,0.6,0.056,-0.91
90,Democrats,"Congress gets a Gold plan that we pick off the ACA exchange. Spoiler: Insurance is STILL a pain.

I had the “consumer choice” of picking btwn 56 diff plans that were all tough to distinguish. There was a comparison web tool &amp; it’s still confusing.

Healthcare &gt; insurance any day. https://t.co/j7wpv92eST",AOC,51,2019-06,0.132,0.868,0.0,-0.6908
91,Democrats,"This President will not lift a finger to save these kids.

It is well within his power, but he &amp; Mitch McConnell would rather cast blame than do anything.

They need to get on board w/ a clean humanitarian bill. We can’t write no-strings blank checks to abusive facilities.",AOC,49,2019-06,0.153,0.723,0.124,-0.5719
92,Democrats,"In meeting I asked “Why can the president take money from other agencies to build his little wall, but can’t move money to get kids toothpaste?”

It’s bc his “nat’l emergency” is ONLY to build his wall.

But he won’t declare an emergency to save these kids &amp; get them help.",AOC,51,2019-06,0.058,0.807,0.135,0.6652
93,Democrats,"His Senate bill is a militarization bill. McConnell killed the House Bill &amp; dropped this one right before recess to force passage.

Well, too bad. This is our job. Cancel vacation, fly the Senate in. Pass a clean humanitarian bill &amp; stop trying to squeeze crises for more pain.",AOC,49,2019-06,0.261,0.66,0.079,-0.8999
94,Democrats,"Mitch McConnell killed the House border $ over “poison pill riders.”

What are the “poison pills” he’s talking about?

Protections for kids &amp; punishment for inhumane facility co’s.

The GOP is heightening children‘s pain for political gain. It’s horrifying.https://t.co/TBoPu3bW1d",AOC,39,2019-06,0.227,0.702,0.07,-0.8225
95,Democrats,Taking notes on the #DemDebate to share tonight on @colbertlateshow! 🇺🇸 https://t.co/k8wMX6iGHH,AOC,12,2019-06,0.0,0.815,0.185,0.3595
96,Democrats,"Last week, we called the concentration camps at the border for what they are.

In the week since:
- Acting director of Customs &amp; Border Patrol resigned
- Bank of America announced they will stop financing for-profit immigrant detention &amp; private prisons.

Words matter. https://t.co/xzBMotvTSB",AOC,45,2019-06,0.143,0.833,0.024,-0.6808
97,Democrats,"Today marks one year since I won my primary election.

It has been a transformative year for myself, our community, and the overall progressive movement.

As I reflect throughout the day, the main sentiment I want to share with you all is: Thank you. https://t.co/ZnejCFD3Mg",AOC,45,2019-06,0.0,0.792,0.208,0.8271
98,Democrats,Yet one more reason to abolish the electoral college 😉 https://t.co/MfDXMBS8sa,AOC,11,2019-06,0.0,1.0,0.0,0.0
99,Democrats,We meet a machine with a movement. 💪🏽💜 https://t.co/8Z19Ej7S8p,AOC,9,2019-06,0.0,1.0,0.0,0.0
100,Democrats,"I am so incredibly proud of @CabanForQueens - and EVERY single person who showed up for this election today.

No matter how this ends, you all have stunned NY politics tonight.

When people come together, we can beat big money in elections. People power is no fluke. https://t.co/hsJx7p3REN",AOC,48,2019-06,0.112,0.795,0.093,-0.0074
101,Democrats,😎 https://t.co/p20O6WLNSe,AOC,2,2019-06,0.0,1.0,0.0,0.0
102,Democrats,"Wayfair workers couldn’t stomach they were making beds to cage children.

They asked the company to stop. CEO said no.

Tomorrow, they‘re walking out.

This is what solidarity looks like - a reminder that everyday people have real power, as long as we’re brave enough to use it. https://t.co/667abeLDTG",AOC,49,2019-06,0.081,0.771,0.149,0.5719
103,Democrats,"It’s wild to think that Third Way has gotten along with its “sensible Dem” charade as long as it has.

I’ve met Trump voters, Ind. voters, but I can’t recall a single voter I’ve met in the US that IDs as a “Third Way Voter.” 

Just admit you’re a Wall St advocacy group &amp; move on. https://t.co/5VOFByEUhV",AOC,57,2019-06,0.0,0.959,0.041,0.296
104,Democrats,"Queens residents: Today is the day we vote for DA! 🌞🗳 

Communities win when we turn out in high numbers. Let’s get @CabanForQueens elected!

Have you voted yet? Check in here if you have &amp; tell us how it went! ⬇️ https://t.co/Y9sIrdKtJQ",AOC,42,2019-06,0.0,0.898,0.102,0.6884
105,Democrats,"Reminder: Caging kids is a for-profit enterprise, &amp; the people who profit off camps finance the political campaigns of those who legislate more caging.

If you want to follow the money: GEO Group &amp; CoreCivic are big ones. Look at the lenders &amp; private equity grps they deal with. https://t.co/QjgZZVx4Nf",AOC,50,2019-06,0.0,0.918,0.082,0.4939
